text,category,region,organization
ขอหน่วยงานที่เกี่ยวข้องวางท่อส่งน้ำสำหรับขยายเขตการจ่ายน้ำประปาไปยังพื้นที่บ้านตาลเสี้ยน หมู่ที่ ๖ ต.หนองแก อ.พระพุทธบาท จังหวัดสระบุรี เนื่องจากประสบปัญหาน้ำประปาในหมู่บ้านไม่เพียงพอในการอุปโภคบริโภค โดยที่ผ่านมาการประปาส่วนภูมิภาคได้ดำเนินโครงการสำรวจและขยายเขตการจ่ายน้ำประปาแล้ว แต่ยังไม่ได้วางท่อส่งน้ำและจุดสิ้นสุดในการวางท่อส่งน้ำอยู่ที่บริเวณถนนก่อนถึงหมู่บ้านดังกล่าว,น้ำ,สระบุรี,สปน.
ขอให้หน่วยงานที่เกี่ยวข้องดำเนินการแก้ไขปัญหารถยนต์ของคนไทยที่ติดค้างอยู่ในประเทศมาเลเซีย เนื่องจากมาตราการปิดพรมแดนเพื่อป้องกันการแพร่ระบาดของโรค COVID - 19 ตั้งแต่ช่วงเดือน เม.ย. ถึงปัจจุบัน,อื่น ๆ,ทุกภูมิภาค,กต.
"ขอให้ช่วยเหลือเยียวยาประชาชนที่ได้รับผลกระทบจากเหตุอุทกภัยในพื้นที่ทุ่งเจ้าเจ็ดและทุ่งโพธิ์พระยา อำเภอสองพี่น้อง และอำเภอบางปลาม้า จังหวัดสุพรรณบุรี โดยดำเนินการ ดังนี้
(๑) เร่งรัดเบิกจ่ายงบประมาณช่วยเหลือชดเชยเกษตรกรผู้เลี้ยงกุ้งและปลา และจ่ายเงินให้บ้านเรือนที่ประสบอุทกภัยแบบเหมาจ่ายหลังละ ๕,๐๐๐ บาท ในพื้นที่ที่ประกาศเป็นเขตภัยพิบัติ
(๒) เร่งรัดปรับปรุงถนนวัดไผ่โรงวัวไปอำเภอสองพี่น้อง บริเวณทางโค้งก่อนถึงโรงเรียนบรรหารแจ่มใสวิทยา ๕",สาธารณภัย,สุพรรณบุรี,กษ.
ขอให้รัฐบาลทบทวนการแก้ไขปัญหาประชาคมกระเหรี่ยงบางกลอย คืนถิ่นสู่ใจแผ่นดินเมืองเพชร จากกรณีที่ชาวบ้านบางกลอยกลุ่มหนึ่งได้อพยพกลับไปอาศัยอยู่ในพื้นที่บางกลอยบน และใจแผ่นดิน ซึ่งเป็นที่ตั้งหมู่บ้านดั้งเดิม หลังจากที่ถูกอพยพลงมาตั้งแต่ปี ๓๙ แต่ไม่สามารถอาศัยอยู่ได้เนื่องจากไม่มีที่ดินทำกินจึงได้กลับขึ้นไปอาศัยอยู่ที่หมู่บ้านเดิมอีกครั้ง จนกระทั่งปี ๕๔ กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช ได้กดดันให้ชาวบ้านย้ายลงมาอยู่หมู่บ้านบางกลอยล่าง - โป่งลึก ต.ห้วยแม่เพรียง อ.แก่งกระจาน จ.เพชรบุรี โดยการเผากระท่อมและยุ้งข้าวของชาวบ้าน แต่ชาวบ้านก็ไม่สามารถอาศัยอยู่ได้เพราะไม่มีแหล่งน้ำที่ดินทำกินไม่เพียงพอ และสภาพที่ดินไม่สามารถทำการเกษตรได้ จึงทำให้ชาวบ้านใช้ชีวิตอยู่ด้วยความยากลำบาก,ที่ดินทำกิน,เพชรบุรี,ทส.
ขอให้พิจารณาดำเนินการแก้ไขปัญหาการลักลอบเล่นพนันชนไก่ในพื้นที่เขตหนองจอก กทม. ซึ่งอาจทำให้เกิดการระบาดของโควิด – 19,อาชญากรรม ยาเสพติดและการพนัน,กรุงเทพมหานคร,ตร.
ขอให้หน่วยงานที่เกี่ยวข้องแก้ไขปัญหาการพนันผิดกฎหมายโดยการเปิดสถานบันเทิงแบบครบวงจร (entertainment complex) หรือบ่อนการพนันถูกกฎหมาย ซึ่งได้มีการเสนอเป็นญัตติในที่ประชุมสภาผู้แทนราษฎรเพื่อศึกษาแนวทางการดำเนินการเรื่องดังกล่าวแล้ว ทั้งนี้ หากผลการศึกษาปรากฏว่าให้มีการเปิดบ่อนการพนันอย่างถูกกฎหมายได้ ก็จะช่วยให้รัฐบาลมีความชอบธรรมและตัดสินใจดำเนินการได้อย่างถูกต้องต่อไป,อาชญากรรม ยาเสพติดและการพนัน,ทุกภูมิภาค,มท.
ขอให้หน่วยงานที่เกี่ยวข้องให้ความสำคัญกับประชาชนผู้ติดเชื้อโควิด – 19 และขอให้โรงพยาบาลรับผู้ป่วยที่ตรวจพบเชื้อเข้ารับการรักษาเพื่อจะได้รับคำแนะนำจากแพทย์ หากภายหลังเข้ารับการรักษาพบว่าเตียงผู้ป่วยมีไม่เพียงพอก็อาจจะเลือกวิธี home isolation ได้ เนื่องจากขณะนี้ประชาชนในเขตธนบุรี เขตคลองสาน และเขตบางกอกใหญ่ กทม. ได้รับความเดือดร้อนจากปัญหาขาดแคลนเตียงผู้ป่วยและจุดตรวจโรคโควิด – 19,สาธารณสุข,ทุกภูมิภาค,สธ.
ขอให้หน่วยงานที่เกี่ยวข้องแก้ไขปัญหาความเดือดร้อนของประชาชนจากกรณีประชาชนในพื้นที่ ต.เกาะเปริดอ.แหลมสิงห์ จ.จันทบุรี ซึ่งอาศัยทำกินอยู่ในพื้นที่เป็นเวลานานแต่ถูกเจ้าหน้าที่จาก ทส. เข้าจับกุมดำเนินคดี ตามมติ คสช. ๒๕๔๗ ซึ่งตามมติ ครม. เมื่อวันที่ ๓๐ มิ.ย. ๔๑ ประชาชนสามารถใช้ประโยชน์ในลักษณะเกื้อกูลต่อการอนุรักษ์ได้ โดยจะไม่ได้กรรมสิทธิ์,ที่ดินทำกิน,จันทบุรี,ทส.
ขอให้พิจารณาแก้ไขปัญหาความเดือดร้อนของประชาชนเกี่ยวกับการปรับขึ้นค่าเช่าอาคารพาณิชย์ตลาดคลองเตยของการท่าเรือแห่งประเทศไทย ซึ่งสร้างความเดือดร้อนให้กับประชาชนในช่วงวิกฤติการแพร่ระบาดของโรคโควิด – 19 ทั้งนี้ สผ. ได้ส่งเรื่องให้ คค. พิจารณาโดยตรงแล้ว,หนี้สิน เศรษฐกิจฐานราก,กรุงเทพมหานคร,คค.
ขอให้หน่วยงานของรัฐที่จะดำเนินการจัดการสอบคัดเลือกบุคคลเป็นเจ้าหน้าที่ของรัฐเข้าทำงานในพื้นที่สามจังหวัดชายแดนภาคใต้ เช่น การสอบ ก.พ. การสอบของหน่วยงานส่วนท้องถิ่น หรืออื่น ๆ ดำเนินการจัดสอบภายในพื้นที่สามจังหวัดชายแดนภาคใต้ เพื่อลดค่าใช้จ่ายในการเดินทางไปสอบของประชาชน,การบริหารราชการแผ่นดิน,ทุกภูมิภาค,มท.
